transaction_id,amount_inr,amount_bucket,failure_reason,customer_risk,failed_at,customer_id
txn_00000,38141.2,high,otp_failed,low,2026-08-17T20:30:00,cust_0280
txn_00001,63.41,low,insufficient_funds,low,2026-08-13T18:30:00,cust_0102
txn_00002,238.78,low,otp_failed,medium,2026-08-18T06:24:00,cust_0082
txn_00003,119.97,low,otp_failed,low,2026-08-09T15:29:00,cust_0050
txn_00004,169.03,low,bank_timeout,low,2026-08-21T23:41:00,cust_0194
txn_00005,332.89,low,insufficient_funds,low,2026-08-17T00:47:00,cust_0036
txn_00006,180.22,low,insufficient_funds,low,2026-08-09T15:35:00,cust_0143
txn_00007,35157.88,high,bank_timeout,medium,2026-08-16T13:18:00,cust_0332
txn_00008,1601.65,mid,insufficient_funds,low,2026-08-15T13:31:00,cust_0353
txn_00009,429.28,low,risk_decline,low,2026-08-19T07:39:00,cust_0162
txn_00010,460.91,low,bank_timeout,low,2026-08-15T21:57:00,cust_0256
txn_00011,16098.24,high,bank_timeout,medium,2026-08-13T06:21:00,cust_0135
txn_00012,312.59,low,otp_failed,low,2026-08-12T14:16:00,cust_0253
txn_00013,3323.51,mid,insufficient_funds,low,2026-08-14T13:43:00,cust_0033
txn_00014,260.62,low,bank_timeout,low,2026-08-16T11:31:00,cust_0370
txn_00015,3958.69,mid,insufficient_funds,medium,2026-08-10T21:26:00,cust_0081
txn_00016,444.13,low,bank_timeout,high,2026-08-12T13:15:00,cust_0055
txn_00017,337.53,low,cart_abandoned,low,2026-08-13T06:34:00,cust_0399
txn_00018,2698.73,mid,cart_abandoned,medium,2026-08-20T23:53:00,cust_0158
txn_00019,305.31,low,insufficient_funds,low,2026-08-18T07:23:00,cust_0273
txn_00020,16927.55,high,otp_failed,low,2026-08-10T15:05:00,cust_0109
txn_00021,22954.65,high,cart_abandoned,medium,2026-08-15T18:55:00,cust_0192
txn_00022,20213.85,high,bank_timeout,low,2026-08-13T14:30:00,cust_0118
txn_00023,368.53,low,risk_decline,low,2026-08-20T13:28:00,cust_0170
txn_00024,10954.03,high,insufficient_funds,low,2026-08-14T02:41:00,cust_0243
txn_00025,924.47,mid,insufficient_funds,low,2026-08-10T15:19:00,cust_0211
txn_00026,4928.74,mid,bank_timeout,medium,2026-08-17T13:42:00,cust_0174
txn_00027,136.22,low,card_expired,low,2026-08-07T08:07:00,cust_0237
txn_00028,249.41,low,insufficient_funds,high,2026-08-15T20:09:00,cust_0277
txn_00029,4319.13,mid,card_expired,high,2026-08-11T22:53:00,cust_0110
txn_00030,509.7,mid,cart_abandoned,medium,2026-08-07T11:47:00,cust_0217
txn_00031,402.51,low,otp_failed,medium,2026-08-07T18:02:00,cust_0112
txn_00032,7572.44,high,cart_abandoned,low,2026-08-11T20:23:00,cust_0258
txn_00033,75.6,low,cart_abandoned,low,2026-08-14T12:58:00,cust_0035
txn_00034,16079.69,high,otp_failed,low,2026-08-01T21:42:00,cust_0318
txn_00035,16734.46,high,insufficient_funds,low,2026-08-17T07:08:00,cust_0161
txn_00036,352.26,low,insufficient_funds,low,2026-08-01T05:05:00,cust_0235
txn_00037,94.99,low,otp_failed,low,2026-08-08T22:36:00,cust_0036
txn_00038,36659.3,high,cart_abandoned,low,2026-08-19T08:47:00,cust_0335
txn_00039,299.57,low,risk_decline,low,2026-08-07T00:26:00,cust_0060
txn_00040,1767.9,mid,cart_abandoned,medium,2026-08-05T15:11:00,cust_0352
txn_00041,269.84,low,otp_failed,low,2026-08-15T10:24:00,cust_0217
txn_00042,200.1,low,card_expired,low,2026-08-17T20:48:00,cust_0227
txn_00043,54.35,low,risk_decline,low,2026-08-13T09:57:00,cust_0019
